id	label
0	Anatomy::UBERON:0000002
1	Anatomy::UBERON:0000004
2	Anatomy::UBERON:0000006
3	Anatomy::UBERON:0000007
4	Anatomy::UBERON:0000010
5	Anatomy::UBERON:0000011
6	Anatomy::UBERON:0000013
7	Anatomy::UBERON:0000020
8	Anatomy::UBERON:0000026
9	Anatomy::UBERON:0000029
10	Anatomy::UBERON:0000033
11	Anatomy::UBERON:0000038
12	Anatomy::UBERON:0000042
13	Anatomy::UBERON:0000043
14	Anatomy::UBERON:0000045
15	Anatomy::UBERON:0000053
16	Anatomy::UBERON:0000054
17	Anatomy::UBERON:0000056
18	Anatomy::UBERON:0000057
19	Anatomy::UBERON:0000165
20	Anatomy::UBERON:0000178
21	Anatomy::UBERON:0000211
22	Anatomy::UBERON:0000473
23	Anatomy::UBERON:0000474
24	Anatomy::UBERON:0000482
25	Anatomy::UBERON:0000483
26	Anatomy::UBERON:0000922
27	Anatomy::UBERON:0000941
28	Anatomy::UBERON:0000946
29	Anatomy::UBERON:0000948
30	Anatomy::UBERON:0000949
31	Anatomy::UBERON:0000955
32	Anatomy::UBERON:0000959
33	Anatomy::UBERON:0000964
34	Anatomy::UBERON:0000966
35	Anatomy::UBERON:0000970
36	Anatomy::UBERON:0000974
37	Anatomy::UBERON:0000975
38	Anatomy::UBERON:0000977
39	Anatomy::UBERON:0000978
40	Anatomy::UBERON:0000982
41	Anatomy::UBERON:0000985
42	Anatomy::UBERON:0000988
43	Anatomy::UBERON:0000989
44	Anatomy::UBERON:0000991
45	Anatomy::UBERON:0000992
46	Anatomy::UBERON:0000993
47	Anatomy::UBERON:0000995
48	Anatomy::UBERON:0000996
49	Anatomy::UBERON:0000997
50	Anatomy::UBERON:0000998
51	Anatomy::UBERON:0000999
52	Anatomy::UBERON:0001000
53	Anatomy::UBERON:0001003
54	Anatomy::UBERON:0001004
55	Anatomy::UBERON:0001007
56	Anatomy::UBERON:0001008
57	Anatomy::UBERON:0001011
58	Anatomy::UBERON:0001013
59	Anatomy::UBERON:0001016
60	Anatomy::UBERON:0001017
61	Anatomy::UBERON:0001021
62	Anatomy::UBERON:0001031
63	Anatomy::UBERON:0001037
64	Anatomy::UBERON:0001044
65	Anatomy::UBERON:0001064
66	Anatomy::UBERON:0001067
67	Anatomy::UBERON:0001070
68	Anatomy::UBERON:0001072
69	Anatomy::UBERON:0001088
70	Anatomy::UBERON:0001089
71	Anatomy::UBERON:0001090
72	Anatomy::UBERON:0001093
73	Anatomy::UBERON:0001103
74	Anatomy::UBERON:0001105
75	Anatomy::UBERON:0001111
76	Anatomy::UBERON:0001130
77	Anatomy::UBERON:0001132
78	Anatomy::UBERON:0001135
79	Anatomy::UBERON:0001140
80	Anatomy::UBERON:0001143
81	Anatomy::UBERON:0001148
82	Anatomy::UBERON:0001174
83	Anatomy::UBERON:0001175
84	Anatomy::UBERON:0001182
85	Anatomy::UBERON:0001183
86	Anatomy::UBERON:0001184
87	Anatomy::UBERON:0001193
88	Anatomy::UBERON:0001194
89	Anatomy::UBERON:0001224
90	Anatomy::UBERON:0001225
91	Anatomy::UBERON:0001228
92	Anatomy::UBERON:0001231
93	Anatomy::UBERON:0001232
94	Anatomy::UBERON:0001235
95	Anatomy::UBERON:0001236
96	Anatomy::UBERON:0001237
97	Anatomy::UBERON:0001264
98	Anatomy::UBERON:0001267
99	Anatomy::UBERON:0001283
100	Anatomy::UBERON:0001285
101	Anatomy::UBERON:0001288
102	Anatomy::UBERON:0001295
103	Anatomy::UBERON:0001296
104	Anatomy::UBERON:0001300
105	Anatomy::UBERON:0001305
106	Anatomy::UBERON:0001310
107	Anatomy::UBERON:0001322
108	Anatomy::UBERON:0001323
109	Anatomy::UBERON:0001324
110	Anatomy::UBERON:0001343
111	Anatomy::UBERON:0001348
112	Anatomy::UBERON:0001352
113	Anatomy::UBERON:0001361
114	Anatomy::UBERON:0001365
115	Anatomy::UBERON:0001394
116	Anatomy::UBERON:0001398
117	Anatomy::UBERON:0001404
118	Anatomy::UBERON:0001406
119	Anatomy::UBERON:0001437
120	Anatomy::UBERON:0001456
121	Anatomy::UBERON:0001460
122	Anatomy::UBERON:0001461
123	Anatomy::UBERON:0001463
124	Anatomy::UBERON:0001464
125	Anatomy::UBERON:0001465
126	Anatomy::UBERON:0001467
127	Anatomy::UBERON:0001469
128	Anatomy::UBERON:0001470
129	Anatomy::UBERON:0001479
130	Anatomy::UBERON:0001484
131	Anatomy::UBERON:0001485
132	Anatomy::UBERON:0001486
133	Anatomy::UBERON:0001488
134	Anatomy::UBERON:0001490
135	Anatomy::UBERON:0001492
136	Anatomy::UBERON:0001494
137	Anatomy::UBERON:0001515
138	Anatomy::UBERON:0001516
139	Anatomy::UBERON:0001529
140	Anatomy::UBERON:0001530
141	Anatomy::UBERON:0001532
142	Anatomy::UBERON:0001533
143	Anatomy::UBERON:0001535
144	Anatomy::UBERON:0001544
145	Anatomy::UBERON:0001567
146	Anatomy::UBERON:0001577
147	Anatomy::UBERON:0001579
148	Anatomy::UBERON:0001585
149	Anatomy::UBERON:0001587
150	Anatomy::UBERON:0001594
151	Anatomy::UBERON:0001597
152	Anatomy::UBERON:0001598
153	Anatomy::UBERON:0001599
154	Anatomy::UBERON:0001600
155	Anatomy::UBERON:0001616
156	Anatomy::UBERON:0001619
157	Anatomy::UBERON:0001620
158	Anatomy::UBERON:0001624
159	Anatomy::UBERON:0001627
160	Anatomy::UBERON:0001633
161	Anatomy::UBERON:0001636
162	Anatomy::UBERON:0001637
163	Anatomy::UBERON:0001638
164	Anatomy::UBERON:0001640
165	Anatomy::UBERON:0001643
166	Anatomy::UBERON:0001644
167	Anatomy::UBERON:0001645
168	Anatomy::UBERON:0001646
169	Anatomy::UBERON:0001647
170	Anatomy::UBERON:0001648
171	Anatomy::UBERON:0001649
172	Anatomy::UBERON:0001650
173	Anatomy::UBERON:0001673
174	Anatomy::UBERON:0001675
175	Anatomy::UBERON:0001676
176	Anatomy::UBERON:0001677
177	Anatomy::UBERON:0001678
178	Anatomy::UBERON:0001679
179	Anatomy::UBERON:0001681
180	Anatomy::UBERON:0001684
181	Anatomy::UBERON:0001685
182	Anatomy::UBERON:0001687
183	Anatomy::UBERON:0001688
184	Anatomy::UBERON:0001689
185	Anatomy::UBERON:0001690
186	Anatomy::UBERON:0001691
187	Anatomy::UBERON:0001694
188	Anatomy::UBERON:0001697
189	Anatomy::UBERON:0001700
190	Anatomy::UBERON:0001702
191	Anatomy::UBERON:0001705
192	Anatomy::UBERON:0001707
193	Anatomy::UBERON:0001708
194	Anatomy::UBERON:0001710
195	Anatomy::UBERON:0001711
196	Anatomy::UBERON:0001716
197	Anatomy::UBERON:0001717
198	Anatomy::UBERON:0001720
199	Anatomy::UBERON:0001723
200	Anatomy::UBERON:0001724
201	Anatomy::UBERON:0001733
202	Anatomy::UBERON:0001734
203	Anatomy::UBERON:0001736
204	Anatomy::UBERON:0001737
205	Anatomy::UBERON:0001744
206	Anatomy::UBERON:0001750
207	Anatomy::UBERON:0001756
208	Anatomy::UBERON:0001759
209	Anatomy::UBERON:0001760
210	Anatomy::UBERON:0001762
211	Anatomy::UBERON:0001764
212	Anatomy::UBERON:0001768
213	Anatomy::UBERON:0001769
214	Anatomy::UBERON:0001771
215	Anatomy::UBERON:0001772
216	Anatomy::UBERON:0001773
217	Anatomy::UBERON:0001775
218	Anatomy::UBERON:0001776
219	Anatomy::UBERON:0001777
220	Anatomy::UBERON:0001780
221	Anatomy::UBERON:0001783
222	Anatomy::UBERON:0001785
223	Anatomy::UBERON:0001786
224	Anatomy::UBERON:0001796
225	Anatomy::UBERON:0001805
226	Anatomy::UBERON:0001814
227	Anatomy::UBERON:0001815
228	Anatomy::UBERON:0001818
229	Anatomy::UBERON:0001820
230	Anatomy::UBERON:0001821
231	Anatomy::UBERON:0001825
232	Anatomy::UBERON:0001827
233	Anatomy::UBERON:0001831
234	Anatomy::UBERON:0001832
235	Anatomy::UBERON:0001833
236	Anatomy::UBERON:0001836
237	Anatomy::UBERON:0001837
238	Anatomy::UBERON:0001840
239	Anatomy::UBERON:0001844
240	Anatomy::UBERON:0001846
241	Anatomy::UBERON:0001855
242	Anatomy::UBERON:0001860
243	Anatomy::UBERON:0001866
244	Anatomy::UBERON:0001884
245	Anatomy::UBERON:0001886
246	Anatomy::UBERON:0001887
247	Anatomy::UBERON:0001890
248	Anatomy::UBERON:0001891
249	Anatomy::UBERON:0001893
250	Anatomy::UBERON:0001895
251	Anatomy::UBERON:0001896
252	Anatomy::UBERON:0001905
253	Anatomy::UBERON:0001908
254	Anatomy::UBERON:0001910
255	Anatomy::UBERON:0001911
256	Anatomy::UBERON:0001914
257	Anatomy::UBERON:0001968
258	Anatomy::UBERON:0001969
259	Anatomy::UBERON:0001970
260	Anatomy::UBERON:0001971
261	Anatomy::UBERON:0001980
262	Anatomy::UBERON:0001981
263	Anatomy::UBERON:0001985
264	Anatomy::UBERON:0001986
265	Anatomy::UBERON:0001988
266	Anatomy::UBERON:0001989
267	Anatomy::UBERON:0002005
268	Anatomy::UBERON:0002010
269	Anatomy::UBERON:0002012
270	Anatomy::UBERON:0002016
271	Anatomy::UBERON:0002017
272	Anatomy::UBERON:0002018
273	Anatomy::UBERON:0002019
274	Anatomy::UBERON:0002028
275	Anatomy::UBERON:0002030
276	Anatomy::UBERON:0002037
277	Anatomy::UBERON:0002040
278	Anatomy::UBERON:0002046
279	Anatomy::UBERON:0002048
280	Anatomy::UBERON:0002053
281	Anatomy::UBERON:0002054
282	Anatomy::UBERON:0002055
283	Anatomy::UBERON:0002060
284	Anatomy::UBERON:0002066
285	Anatomy::UBERON:0002067
286	Anatomy::UBERON:0002073
287	Anatomy::UBERON:0002081
288	Anatomy::UBERON:0002082
289	Anatomy::UBERON:0002097
290	Anatomy::UBERON:0002099
291	Anatomy::UBERON:0002102
292	Anatomy::UBERON:0002103
293	Anatomy::UBERON:0002107
294	Anatomy::UBERON:0002110
295	Anatomy::UBERON:0002113
296	Anatomy::UBERON:0002129
297	Anatomy::UBERON:0002130
298	Anatomy::UBERON:0002134
299	Anatomy::UBERON:0002135
300	Anatomy::UBERON:0002137
301	Anatomy::UBERON:0002146
302	Anatomy::UBERON:0002148
303	Anatomy::UBERON:0002162
304	Anatomy::UBERON:0002165
305	Anatomy::UBERON:0002185
306	Anatomy::UBERON:0002204
307	Anatomy::UBERON:0002205
308	Anatomy::UBERON:0002223
309	Anatomy::UBERON:0002226
310	Anatomy::UBERON:0002228
311	Anatomy::UBERON:0002240
312	Anatomy::UBERON:0002250
313	Anatomy::UBERON:0002275
314	Anatomy::UBERON:0002279
315	Anatomy::UBERON:0002282
316	Anatomy::UBERON:0002285
317	Anatomy::UBERON:0002286
318	Anatomy::UBERON:0002294
319	Anatomy::UBERON:0002297
320	Anatomy::UBERON:0002298
321	Anatomy::UBERON:0002299
322	Anatomy::UBERON:0002303
323	Anatomy::UBERON:0002347
324	Anatomy::UBERON:0002349
325	Anatomy::UBERON:0002351
326	Anatomy::UBERON:0002352
327	Anatomy::UBERON:0002353
328	Anatomy::UBERON:0002354
329	Anatomy::UBERON:0002356
330	Anatomy::UBERON:0002360
331	Anatomy::UBERON:0002361
332	Anatomy::UBERON:0002362
333	Anatomy::UBERON:0002363
334	Anatomy::UBERON:0002365
335	Anatomy::UBERON:0002366
336	Anatomy::UBERON:0002367
337	Anatomy::UBERON:0002368
338	Anatomy::UBERON:0002369
339	Anatomy::UBERON:0002371
340	Anatomy::UBERON:0002377
341	Anatomy::UBERON:0002378
342	Anatomy::UBERON:0002382
343	Anatomy::UBERON:0002384
344	Anatomy::UBERON:0002385
345	Anatomy::UBERON:0002386
346	Anatomy::UBERON:0002387
347	Anatomy::UBERON:0002389
348	Anatomy::UBERON:0002390
349	Anatomy::UBERON:0002392
350	Anatomy::UBERON:0002394
351	Anatomy::UBERON:0002397
352	Anatomy::UBERON:0002398
353	Anatomy::UBERON:0002405
354	Anatomy::UBERON:0002407
355	Anatomy::UBERON:0002410
356	Anatomy::UBERON:0002411
357	Anatomy::UBERON:0002413
358	Anatomy::UBERON:0002414
359	Anatomy::UBERON:0002418
360	Anatomy::UBERON:0002422
361	Anatomy::UBERON:0002439
362	Anatomy::UBERON:0002441
363	Anatomy::UBERON:0002450
364	Anatomy::UBERON:0002453
365	Anatomy::UBERON:0002466
366	Anatomy::UBERON:0002481
367	Anatomy::UBERON:0002486
368	Anatomy::UBERON:0002494
369	Anatomy::UBERON:0002497
370	Anatomy::UBERON:0002500
371	Anatomy::UBERON:0002501
372	Anatomy::UBERON:0002502
373	Anatomy::UBERON:0002512
374	Anatomy::UBERON:0002515
375	Anatomy::UBERON:0002516
376	Anatomy::UBERON:0002517
377	Anatomy::UBERON:0002518
378	Anatomy::UBERON:0002519
379	Anatomy::UBERON:0002521
380	Anatomy::UBERON:0002522
381	Anatomy::UBERON:0002523
382	Anatomy::UBERON:0002606
383	Anatomy::UBERON:0002673
384	Anatomy::UBERON:0002707
385	Anatomy::UBERON:0002741
386	Anatomy::UBERON:0002925
387	Anatomy::UBERON:0002944
388	Anatomy::UBERON:0003092
389	Anatomy::UBERON:0003126
390	Anatomy::UBERON:0003129
391	Anatomy::UBERON:0003216
392	Anatomy::UBERON:0003685
393	Anatomy::UBERON:0003889
394	Anatomy::UBERON:0004288
395	Anatomy::UBERON:0004452
396	Anatomy::UBERON:0004535
397	Anatomy::UBERON:0004727
398	Anatomy::UBERON:0004769
399	Anatomy::UBERON:0006849
400	Atc::A
401	Atc::A01
402	Atc::A01A
403	Atc::A01AA
404	Atc::A01AA03
405	Atc::A01AA04
406	Atc::A01AA51
407	Atc::A01AB
408	Atc::A01AB06
409	Atc::A01AB14
410	Atc::A01AB15
411	Atc::A01AB19
412	Atc::A01AD
413	Atc::A01AD01
414	Atc::A01AD02
415	Atc::A01AD06
416	Atc::A01AD07
417	Atc::A02
418	Atc::A02A
419	Atc::A02AA
420	Atc::A02AA01
421	Atc::A02AA02
422	Atc::A02AA05
423	Atc::A02AB
424	Atc::A02AB02
425	Atc::A02AB03
426	Atc::A02AB05
427	Atc::A02AB06
428	Atc::A02AB07
429	Atc::A02AC
430	Atc::A02AC01
431	Atc::A02AC02
432	Atc::A02AD
433	Atc::A02AD02
434	Atc::A02AD04
435	Atc::A02AD05
436	Atc::A02B
437	Atc::A02BA
438	Atc::A02BA04
439	Atc::A02BA05
440	Atc::A02BA06
441	Atc::A02BA07
442	Atc::A02BA08
443	Atc::A02BA51
444	Atc::A02BA53
445	Atc::A02BB
